Source,Target,Weight
EC-RUC-0160017400001-87497,EC-RUC-0991312080001-3759,3
EC-RUC-0160017400001-87497,EC-RUC-0991339450001-13250,4
EC-RUC-0160017400001-87497,EC-RUC-1790371506001-4638,4
EC-RUC-0160017400001-87497,EC-RUC-1790691810001-4033,4
EC-RUC-0160017400001-87497,EC-RUC-1791222032001-4906,3
EC-RUC-0160017400001-87497,EC-RUC-1792029678001-209299,3
EC-RUC-0160017400001-87497,EC-RUC-1792569397001-598626,3
EC-RUC-0160017400001-87497,EC-RUC-1792704634001-780694,3
EC-RUC-0660828300001-2561,EC-RUC-1792578019001-792287,3
EC-RUC-0760004760001-48853,EC-RUC-1791412559001-7106,4
EC-RUC-0760005140001-141697,EC-RUC-0993038210001-900030,3
EC-RUC-0968503790001-29399,EC-RUC-0990000670001-98153,3
EC-RUC-0968560160001-2810,EC-RUC-1790371506001-4638,3
EC-RUC-0968560160001-2810,EC-RUC-1790691810001-4033,7
EC-RUC-1060004680001-14094,EC-RUC-1791727649001-9991,3
EC-RUC-1160004660001-8458,EC-RUC-0190360636001-235446,4
EC-RUC-1360051970001-89917,EC-RUC-0990289751001-13243,4
EC-RUC-1560500670001-15857,EC-RUC-0190146677001-11735,4
EC-RUC-1560500670001-15857,EC-RUC-0992283343001-18501,4
EC-RUC-1560500670001-15857,EC-RUC-0992428678001-64015,4
EC-RUC-1560500670001-15857,EC-RUC-1705906491001-12972,4
EC-RUC-1560500670001-15857,EC-RUC-1791770722001-8759,4
EC-RUC-1560500670001-15857,EC-RUC-1791902564001-11306,4
EC-RUC-1560500830001-24750,EC-RUC-0990064474001-2205,16
EC-RUC-1768012710001-43246,EC-RUC-0991312080001-3759,3
EC-RUC-1768012710001-43246,EC-RUC-1790691810001-4033,3
EC-RUC-1768012710001-43246,EC-RUC-1790972186001-1940,5
EC-RUC-1768012710001-43246,EC-RUC-1792029678001-209299,3
EC-RUC-1768012710001-43246,ID-1791830105001-2928,3
EC-RUC-1768033550001-29340,EC-RUC-0190146677001-11735,5
EC-RUC-1768033980001-52558,EC-RUC-0190146677001-11735,3
EC-RUC-1768033980001-52558,EC-RUC-0991439765001-187003,3
EC-RUC-1768033980001-52558,EC-RUC-1790642992001-3710,3
EC-RUC-1768033980001-52558,EC-RUC-1791931483001-10379,4
EC-RUC-1768033980001-52558,EC-RUC-1792029678001-209299,3
EC-RUC-1768033980001-52558,ID-1792166551001-253353,3
EC-RUC-1768034520001-106745,EC-RUC-1790691810001-4033,3
EC-RUC-1768034790001-49010,EC-RUC-1791222032001-4906,4
EC-RUC-1768034950001-40576,EC-RUC-0990000670001-98153,4
EC-RUC-1768034950001-40576,EC-RUC-1790984141001-4061,4
EC-RUC-1768034950001-40576,EC-RUC-1792029678001-209299,8
EC-RUC-1768034950001-40576,EC-RUC-1792696127001-865566,3
EC-RUC-1768034950001-40576,ID-1790411605001-45700,3
EC-RUC-1768046450001-54651,EC-RUC-0190085422001-2884,4
EC-RUC-1768046450001-54651,EC-RUC-0190146677001-11735,9
EC-RUC-1768046450001-54651,EC-RUC-0991312080001-3759,3
EC-RUC-1768046450001-54651,EC-RUC-0991440321001-410505,4
EC-RUC-1768046450001-54651,EC-RUC-0991445242001-24628,4
EC-RUC-1768046450001-54651,EC-RUC-0992122749001-3372,4
EC-RUC-1768046450001-54651,EC-RUC-0992262192001-3754,4
EC-RUC-1768046450001-54651,EC-RUC-1708223027001-404273,6
EC-RUC-1768046450001-54651,EC-RUC-1790642992001-3710,3
EC-RUC-1768046450001-54651,EC-RUC-1790691810001-4033,6
EC-RUC-1768046450001-54651,EC-RUC-1790972186001-1940,8
EC-RUC-1768046450001-54651,EC-RUC-1791222032001-4906,5
EC-RUC-1768046450001-54651,EC-RUC-1791752732001-18705,4
EC-RUC-1768046450001-54651,EC-RUC-1791877969001-1150,6
EC-RUC-1768046450001-54651,EC-RUC-1791931483001-10379,8
EC-RUC-1768046450001-54651,EC-RUC-1791973704001-1673,3
EC-RUC-1768046450001-54651,EC-RUC-1792029678001-209299,6
EC-RUC-1768046450001-54651,EC-RUC-1792156734001-66192,3
EC-RUC-1768046450001-54651,EC-RUC-1792161088001-79651,3
EC-RUC-1768046450001-54651,EC-RUC-1792513812001-559142,4
EC-RUC-1768046450001-54651,EC-RUC-1792537193001-700111,3
EC-RUC-1768046450001-54651,EC-RUC-1792704634001-780694,3
EC-RUC-1768046450001-54651,ID-1792166551001-253353,3
EC-RUC-1768056410001-20291,EC-RUC-0190146677001-11735,4
EC-RUC-1768056410001-20291,EC-RUC-1792029678001-209299,3
EC-RUC-1768161120001-390394,EC-RUC-0190146677001-11735,5
EC-RUC-1768161120001-390394,EC-RUC-1791222032001-4906,3
EC-RUC-1768161120001-390394,EC-RUC-1792390834001-785808,4
EC-RUC-1768181150001-594674,EC-RUC-1791929675001-169564,3
EC-RUC-1768181150001-594674,EC-RUC-1791931483001-10379,4
EC-RUC-1768182120001-730708,EC-RUC-1791931483001-10379,3
EC-RUC-1768182120001-730708,EC-RUC-1791949862001-6255,3
EC-RUC-1768189800001-868544,EC-RUC-0190146677001-11735,3
EC-RUC-1768189800001-868544,EC-RUC-1792029678001-209299,4
EC-RUC-1865000750001-2728,EC-RUC-1791222032001-4906,3
EC-RUC-2260015300001-537258,EC-RUC-1002018420001-300372,3
EC-RUC-2360006130001-519694,EC-RUC-1790691810001-4033,3
